"nctid","anticipated_enrollment","actual_enrollment","has_summary_results","has_publication","phase_recoded","has_publ_or_summary","source"
"NCT00554658",30,30,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00560430",0,56,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT00564239",120,77,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00614224",40,38,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00616096",10,10,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00656656",5,23,TRUE,TRUE,"II",TRUE,"Intovalue"
"NCT00661830",96,103,TRUE,TRUE,"II",TRUE,"Intovalue"
"NCT00661986",90,102,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00662428",240,202,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00663364",100,100,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00666341",70,50,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00678535",870,904,TRUE,TRUE,"III",TRUE,"Intovalue"
"NCT00681135",120,118,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00686244",125,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00687050",30,NA,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT00708253",150,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00717340",84,18,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT00718939",60,6,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00742859",500,508,TRUE,TRUE,"II",TRUE,"Intovalue"
"NCT00751959",180,213,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00763464",100,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00778648",NA,543,TRUE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00779597",208,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00784446",53,51,FALSE,TRUE,"I-II",TRUE,"Intovalue"
"NCT00795548",30,30,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00795964",100,101,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00802425",204,210,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00804817",84,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00810303",12,12,TRUE,TRUE,"I",TRUE,"Intovalue"
"NCT00811291",250,250,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00811668",NA,40,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00815945",40,41,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00819286",432,140,TRUE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00831688",80,NA,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00832234",61,59,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00843297",120,NA,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00844064",55,62,FALSE,FALSE,"I",FALSE,"Intovalue"
"NCT00847964",18,11,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00854516",15,15,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00866073",NA,238,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00867750",28,28,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00872716",60,60,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00875914",300,NA,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00876720",100,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00891826",51,55,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00895609",NA,99,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00897897",24,33,TRUE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00900107",NA,18,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00902876",44,45,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00902941",60,34,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00904657",NA,12,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT00905840",NA,91,TRUE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00909025",15,15,FALSE,FALSE,"I",FALSE,"Intovalue"
"NCT00929942",10,10,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT00934687",30,30,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00938743",50,NA,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00941460",166,105,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00953264",400,290,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00955565",150,150,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00958750",NA,113,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT00974506",50,50,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00976859",52,28,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00993980",120,127,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01013259",NA,34,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT01043419",8,NA,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT01049971",NA,109,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01051518",NA,126,TRUE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01055119",110,95,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01060501",NA,796,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT01065246",30,8,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT01065935",76,87,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT01066832",300,276,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT01072305",NA,70,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01073917",30,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01078168",76,22,TRUE,TRUE,"II",TRUE,"Intovalue"
"NCT01084382",NA,70,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01086839",69,69,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01095926",100,101,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT01097434",45,48,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT01105728",38,NA,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT01114165",150,150,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT01115192",100,144,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01116466",NA,5,TRUE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01117519",40,40,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT01122433",50,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01125813",32,32,TRUE,TRUE,"III",TRUE,"Intovalue"
"NCT01137305",NA,50,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01145092",NA,16,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01145248",NA,43,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01153139",32,32,FALSE,TRUE,"II-III",TRUE,"Intovalue"
"NCT01153750",NA,44,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT01159366",NA,602,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT01170936",10,10,FALSE,TRUE,"II",TRUE,"Intovalue"
